video,segment_id,label,num_frames,start_frame,end_frame
Videos/82725/Visite_1/82725_Question_1_2024-11-19_15-12-23_Video.mp4,0,0,255,0,254
Videos/82904/Visite_1/82904_Question_7_2025-02-27_09-27-57_Video.mp4,0,0,334,0,333
Videos/82904/Visite_1/82904_Question_7_2025-02-27_09-27-57_Video.mp4,1,1,207,334,540
Videos/82620/Visite_1/82620_Question_7_2024-11-05_14-58-50_Video-DESKTOP-NQ55E0P.mp4,0,0,129,0,128
Videos/82620/Visite_1/82620_Question_7_2024-11-05_14-58-50_Video-DESKTOP-NQ55E0P.mp4,1,1,207,129,335
Videos/82620/Visite_1/82620_Question_7_2024-11-05_14-58-50_Video-DESKTOP-NQ55E0P.mp4,2,0,791,336,1126
Videos/82620/Visite_1/82620_Question_7_2024-11-05_14-58-50_Video-DESKTOP-NQ55E0P.mp4,3,1,249,1127,1375
Videos/82621/Visite_1/82621_Question_7_2024-11-05_14-59-45_Video.mp4,0,0,36,0,35
Videos/82621/Visite_1/82621_Question_7_2024-11-05_14-59-45_Video.mp4,1,1,79,36,114
Videos/82621/Visite_1/82621_Question_7_2024-11-05_14-59-45_Video.mp4,2,0,257,115,371
Videos/82567/Visite_1/82567_Question_7_2024-10-02_15-46-17_Video.mp4,0,0,146,0,145
Videos/82567/Visite_1/82567_Question_7_2024-10-02_15-46-17_Video.mp4,1,1,78,146,223
Videos/82567/Visite_1/82567_Question_7_2024-10-02_15-46-17_Video.mp4,2,0,203,224,426
Videos/82567/Visite_1/82567_Question_7_2024-10-02_15-46-17_Video.mp4,3,1,95,427,521
Videos/82567/Visite_1/82567_Question_7_2024-10-02_15-46-17_Video.mp4,4,0,32,522,553
Videos/82570/Visite_1/82570_Question_5_2024-10-02_16-00-57_Video.mp4,0,0,508,0,507
Videos/82880/Visite_1/82880_Question_1_2025-02-22_11-19-19_Video.mp4,0,0,217,0,216
Videos/82553/Visite_1/82553_Question_1_2024-08-22_12-11-55_Video.mp4,0,0,51,0,50
Videos/82553/Visite_1/82553_Question_1_2024-08-22_12-11-55_Video.mp4,1,1,45,51,95
Videos/82553/Visite_1/82553_Question_1_2024-08-22_12-11-55_Video.mp4,2,0,322,96,417
Videos/82759/Visite_1/82759_Question_3_2024-12-03_18-55-20_Video.mp4,0,0,41,0,40
Videos/82759/Visite_1/82759_Question_3_2024-12-03_18-55-20_Video.mp4,1,1,79,41,119
Videos/82759/Visite_1/82759_Question_3_2024-12-03_18-55-20_Video.mp4,2,0,263,120,382
Videos/82759/Visite_1/82759_Question_3_2024-12-03_18-55-20_Video.mp4,3,1,51,383,433
Videos/82759/Visite_1/82759_Question_3_2024-12-03_18-55-20_Video.mp4,5,1,28,436,463
Videos/82759/Visite_1/82759_Question_3_2024-12-03_18-55-20_Video.mp4,6,0,62,464,525
